email	nationality	total spend (USD)	total nights	total  rewards to give	
demo-email1@gmail.com	es	10000	15	10000	
demo-email2@gmail.com	es	10250	16	10250	
demo-email3@gmail.com	es	10500	17	10500	
demo-email4@gmail.com	es	10750	18	10750	
demo-email5@gmail.com	es	11000	19	11000	
demo-email6@gmail.com	es	11250	20	11250	
demo-email7@gmail.com	es	11500	21	11500	
demo-email8@gmail.com	es	11750	22	11750	
demo-email9@gmail.com	es	12000	23	12000	
demo-email10@gmail.com	es	12250	24	12250	
demo-email11@gmail.com	es	12500	25	12500	
demo-email12@gmail.com	es	12750	26	12750	
demo-email13@gmail.com	es	13000	27	13000	
demo-email14@gmail.com	es	13250	28	13250	
demo-email15@gmail.com	es	13500	29	13500	
demo-email16@gmail.com	es	13750	30	13750	
demo-email17@gmail.com	es	14000	31	14000	
demo-email18@gmail.com	es	14250	32	14250	
demo-email19@gmail.com	es	14500	33	14500	
demo-email20@gmail.com	es	14750	34	14750	
demo-email21@gmail.com	es	15000	35	15000	
demo-email22@gmail.com	es	15250	36	15250	
demo-email23@gmail.com	es	15500	37	15500	
demo-email24@gmail.com	es	15750	38	15750	
demo-email25@gmail.com	es	16000	39	16000	
demo-email26@gmail.com	es	16250	40	16250	
demo-email27@gmail.com	es	16500	41	16500	
demo-email28@gmail.com	es	16750	42	16750	
demo-email29@gmail.com	es	17000	43	17000	
demo-email30@gmail.com	es	17250	44	17250	
demo-email31@gmail.com	es	17500	45	17500	
demo-email32@gmail.com	es	17750	46	17750	
demo-email33@gmail.com	es	18000	47	18000	
demo-email34@gmail.com	es	18250	48	18250	
demo-email35@gmail.com	es	18500	49	18500	
demo-email36@gmail.com	es	18750	50	18750	
demo-email37@gmail.com	es	19000	51	19000	
demo-email38@gmail.com	es	19250	52	19250	
demo-email39@gmail.com	es	19500	53	19500	
demo-email40@gmail.com	es	19750	54	19750	
demo-email41@gmail.com	es	20000	55	20000	
demo-email42@gmail.com	es	20250	56	20250	
demo-email43@gmail.com	es	20500	57	20500	
demo-email44@gmail.com	es	20750	58	20750	
demo-email45@gmail.com	es	21000	59	21000	
demo-email46@gmail.com	es	21250	60	21250	
demo-email47@gmail.com	es	21500	61	21500	
demo-email48@gmail.com	es	21750	62	21750	
demo-email49@gmail.com	es	22000	63	22000	
demo-email50@gmail.com	es	22250	64	22250	
demo-email51@gmail.com	es	22500	65	22500	
demo-email52@gmail.com	es	22750	66	22750	
demo-email53@gmail.com	es	23000	67	23000	
demo-email54@gmail.com	es	23250	68	23250	
demo-email55@gmail.com	es	23500	69	23500	
demo-email56@gmail.com	es	23750	70	23750	
demo-email57@gmail.com	es	24000	71	24000	
demo-email58@gmail.com	es	24250	72	24250	
demo-email59@gmail.com	es	24500	73	24500	
demo-email60@gmail.com	es	24750	74	24750	
demo-email61@gmail.com	es	25000	75	25000	
demo-email62@gmail.com	es	25250	76	25250	
demo-email63@gmail.com	es	25500	77	25500	
demo-email64@gmail.com	es	25750	78	25750	
demo-email65@gmail.com	es	26000	79	26000	
demo-email66@gmail.com	es	26250	80	26250	
demo-email67@gmail.com	es	26500	81	26500	
demo-email68@gmail.com	es	26750	82	26750	
demo-email69@gmail.com	es	27000	83	27000	
demo-email70@gmail.com	es	27250	84	27250	
demo-email71@gmail.com	es	27500	85	27500	
demo-email72@gmail.com	es	27750	86	27750	
demo-email73@gmail.com	es	28000	87	28000	
demo-email74@gmail.com	es	28250	88	28250	
demo-email75@gmail.com	es	28500	89	28500	
demo-email76@gmail.com	es	28750	90	28750	
demo-email77@gmail.com	es	29000	91	29000	
demo-email78@gmail.com	es	29250	92	29250	
demo-email79@gmail.com	es	29500	93	29500	
demo-email80@gmail.com	es	29750	94	29750	
demo-email81@gmail.com	es	30000	95	30000	
demo-email82@gmail.com	es	30250	96	30250	
demo-email83@gmail.com	es	30500	97	30500	
demo-email84@gmail.com	es	30750	98	30750	
demo-email85@gmail.com	es	31000	99	31000	
demo-email86@gmail.com	es	31250	100	31250	
demo-email87@gmail.com	es	31500	101	31500	
demo-email88@gmail.com	es	31750	102	31750	
demo-email89@gmail.com	es	32000	103	32000	
demo-email90@gmail.com	es	32250	104	32250	
demo-email91@gmail.com	es	32500	105	32500	
demo-email92@gmail.com	es	32750	106	32750	
demo-email93@gmail.com	es	33000	107	33000	
demo-email94@gmail.com	es	33250	108	33250	
demo-email95@gmail.com	es	33500	109	33500	
demo-email96@gmail.com	es	33750	110	33750	
demo-email97@gmail.com	es	34000	111	34000	
demo-email98@gmail.com	es	34250	112	34250	
demo-email99@gmail.com	es	34500	113	34500	
demo-email100@gmail.com	es	34750	114	34750	
demo-email101@gmail.com	es	35000	115	35000	
demo-email102@gmail.com	es	35250	116	35250	
demo-email103@gmail.com	es	35500	117	35500	
demo-email104@gmail.com	es	35750	118	35750	
demo-email105@gmail.com	es	36000	119	36000	
demo-email106@gmail.com	es	36250	120	36250	
demo-email107@gmail.com	es	36500	121	36500	
demo-email108@gmail.com	es	36750	122	36750	
demo-email109@gmail.com	es	37000	123	37000	
demo-email110@gmail.com	es	37250	124	37250	
demo-email111@gmail.com	es	37500	125	37500	
demo-email112@gmail.com	es	37750	126	37750	
demo-email113@gmail.com	es	38000	127	38000	
demo-email114@gmail.com	es	38250	128	38250	
demo-email115@gmail.com	es	38500	129	38500	
demo-email116@gmail.com	es	38750	130	38750	
demo-email117@gmail.com	es	39000	131	39000	
demo-email118@gmail.com	es	39250	132	39250	
demo-email119@gmail.com	es	39500	133	39500	
demo-email120@gmail.com	es	39750	134	39750	
demo-email121@gmail.com	es	40000	135	40000	
demo-email122@gmail.com	es	40250	136	40250	
demo-email123@gmail.com	es	40500	137	40500	
demo-email124@gmail.com	es	40750	138	40750	
demo-email125@gmail.com	es	41000	139	41000	
demo-email126@gmail.com	es	41250	140	41250	
demo-email127@gmail.com	es	41500	141	41500	
demo-email128@gmail.com	es	41750	142	41750	
demo-email129@gmail.com	es	42000	143	42000	
demo-email130@gmail.com	es	42250	144	42250	
demo-email131@gmail.com	es	42500	145	42500	
demo-email132@gmail.com	es	42750	146	42750	
demo-email133@gmail.com	es	43000	147	43000	
demo-email134@gmail.com	es	43250	148	43250	
demo-email135@gmail.com	es	43500	149	43500	
demo-email136@gmail.com	es	43750	150	43750	
demo-email137@gmail.com	es	44000	151	44000	
demo-email138@gmail.com	es	44250	152	44250	
demo-email139@gmail.com	es	44500	153	44500	
demo-email140@gmail.com	es	44750	154	44750	
demo-email141@gmail.com	es	45000	155	45000	
demo-email142@gmail.com	es	45250	156	45250	
demo-email143@gmail.com	es	45500	157	45500	
demo-email144@gmail.com	es	45750	158	45750	
demo-email145@gmail.com	es	46000	159	46000	
demo-email146@gmail.com	es	46250	160	46250	
demo-email147@gmail.com	es	46500	161	46500	
demo-email148@gmail.com	es	46750	162	46750	
demo-email149@gmail.com	es	47000	163	47000	
demo-email150@gmail.com	es	47250	164	47250	
demo-email151@gmail.com	es	47500	165	47500	
demo-email152@gmail.com	es	47750	166	47750	
demo-email153@gmail.com	es	48000	167	48000	
demo-email154@gmail.com	es	48250	168	48250	
demo-email155@gmail.com	es	48500	169	48500	
demo-email156@gmail.com	es	48750	170	48750	
demo-email157@gmail.com	es	49000	171	49000	
demo-email158@gmail.com	es	49250	172	49250	
demo-email159@gmail.com	es	49500	173	49500	
demo-email160@gmail.com	es	49750	174	49750	
demo-email161@gmail.com	es	50000	175	50000	
demo-email162@gmail.com	es	50250	176	50250	
demo-email163@gmail.com	es	50500	177	50500	
demo-email164@gmail.com	es	50750	178	50750	
demo-email165@gmail.com	es	51000	179	51000	
demo-email166@gmail.com	es	51250	180	51250	
demo-email167@gmail.com	es	51500	181	51500	
demo-email168@gmail.com	es	51750	182	51750	
demo-email169@gmail.com	es	52000	183	52000	
demo-email170@gmail.com	es	52250	184	52250	
demo-email171@gmail.com	es	52500	185	52500	
demo-email172@gmail.com	es	52750	186	52750	
demo-email173@gmail.com	es	53000	187	53000	
demo-email174@gmail.com	es	53250	188	53250	
demo-email175@gmail.com	es	53500	189	53500	
demo-email176@gmail.com	es	53750	190	53750	
demo-email177@gmail.com	es	54000	191	54000	
demo-email178@gmail.com	es	54250	192	54250	
demo-email179@gmail.com	es	54500	193	54500	
demo-email180@gmail.com	es	54750	194	54750	
demo-email181@gmail.com	es	55000	195	55000	
demo-email182@gmail.com	es	55250	196	55250	
demo-email183@gmail.com	es	55500	197	55500	
demo-email184@gmail.com	es	55750	198	55750	
demo-email185@gmail.com	es	56000	199	56000	
demo-email186@gmail.com	es	56250	200	56250	
demo-email187@gmail.com	es	56500	201	56500	
demo-email188@gmail.com	es	56750	202	56750	
demo-email189@gmail.com	es	57000	203	57000	
demo-email190@gmail.com	es	57250	204	57250	
demo-email191@gmail.com	es	57500	205	57500	
demo-email192@gmail.com	es	57750	206	57750	
demo-email193@gmail.com	es	58000	207	58000	
demo-email194@gmail.com	es	58250	208	58250	
demo-email195@gmail.com	es	58500	209	58500	
demo-email196@gmail.com	es	58750	210	58750	
demo-email197@gmail.com	es	59000	211	59000	
demo-email198@gmail.com	es	59250	212	59250	
demo-email199@gmail.com	es	59500	213	59500	
demo-email200@gmail.com	es	59750	214	59750	
demo-email201@gmail.com	es	60000	215	60000	
demo-email202@gmail.com	es	60250	216	60250	
demo-email203@gmail.com	es	60500	217	60500	
demo-email204@gmail.com	es	60750	218	60750	
demo-email205@gmail.com	es	61000	219	61000	
demo-email206@gmail.com	es	61250	220	61250	
demo-email207@gmail.com	es	61500	221	61500	
demo-email208@gmail.com	es	61750	222	61750	
demo-email209@gmail.com	es	62000	223	62000	
demo-email210@gmail.com	es	62250	224	62250	
demo-email211@gmail.com	es	62500	225	62500	
demo-email212@gmail.com	es	62750	226	62750	
demo-email213@gmail.com	es	63000	227	63000	
demo-email214@gmail.com	es	63250	228	63250	
demo-email215@gmail.com	es	63500	229	63500	
demo-email216@gmail.com	es	63750	230	63750	
demo-email217@gmail.com	es	64000	231	64000	
demo-email218@gmail.com	es	64250	232	64250	
demo-email219@gmail.com	es	64500	233	64500	
demo-email220@gmail.com	es	64750	234	64750	
demo-email221@gmail.com	es	65000	235	65000	
demo-email222@gmail.com	es	65250	236	65250	
demo-email223@gmail.com	es	65500	237	65500	
demo-email224@gmail.com	es	65750	238	65750	
demo-email225@gmail.com	es	66000	239	66000	
demo-email226@gmail.com	es	66250	240	66250	
demo-email227@gmail.com	es	66500	241	66500	
demo-email228@gmail.com	es	66750	242	66750	
demo-email229@gmail.com	es	67000	243	67000	
demo-email230@gmail.com	es	67250	244	67250	
demo-email231@gmail.com	es	67500	245	67500	
demo-email232@gmail.com	es	67750	246	67750	
demo-email233@gmail.com	es	68000	247	68000	
demo-email234@gmail.com	es	68250	248	68250	
demo-email235@gmail.com	es	68500	249	68500	
demo-email236@gmail.com	es	68750	250	68750	
demo-email237@gmail.com	es	69000	251	69000	
demo-email238@gmail.com	es	69250	252	69250	
demo-email239@gmail.com	es	69500	253	69500	
demo-email240@gmail.com	es	69750	254	69750	
demo-email241@gmail.com	es	70000	255	70000	
demo-email242@gmail.com	es	70250	256	70250	
demo-email243@gmail.com	es	70500	257	70500	
demo-email244@gmail.com	es	70750	258	70750	
demo-email245@gmail.com	es	71000	259	71000	
demo-email246@gmail.com	es	71250	260	71250	
demo-email247@gmail.com	es	71500	261	71500	
demo-email248@gmail.com	es	71750	262	71750	
demo-email249@gmail.com	es	72000	263	72000	
demo-email250@gmail.com	es	72250	264	72250	
demo-email251@gmail.com	es	72500	265	72500	
demo-email252@gmail.com	es	72750	266	72750	
demo-email253@gmail.com	es	73000	267	73000	
demo-email254@gmail.com	es	73250	268	73250	
demo-email255@gmail.com	es	73500	269	73500	
demo-email256@gmail.com	es	73750	270	73750	
demo-email257@gmail.com	es	74000	271	74000	
demo-email258@gmail.com	es	74250	272	74250	
demo-email259@gmail.com	es	74500	273	74500	
demo-email260@gmail.com	es	74750	274	74750	
demo-email261@gmail.com	es	75000	275	75000	
demo-email262@gmail.com	es	75250	276	75250	
demo-email263@gmail.com	es	75500	277	75500	
demo-email264@gmail.com	es	75750	278	75750	
demo-email265@gmail.com	es	76000	279	76000	
demo-email266@gmail.com	es	76250	280	76250	
demo-email267@gmail.com	es	76500	281	76500	
demo-email268@gmail.com	es	76750	282	76750	
demo-email269@gmail.com	es	77000	283	77000	
demo-email270@gmail.com	es	77250	284	77250	
demo-email271@gmail.com	es	77500	285	77500	
demo-email272@gmail.com	es	77750	286	77750	
demo-email273@gmail.com	es	78000	287	78000	
demo-email274@gmail.com	es	78250	288	78250	
demo-email275@gmail.com	es	78500	289	78500	
demo-email276@gmail.com	es	78750	290	78750	
demo-email277@gmail.com	es	79000	291	79000	
demo-email278@gmail.com	es	79250	292	79250	
demo-email279@gmail.com	es	79500	293	79500	
demo-email280@gmail.com	es	79750	294	79750	
demo-email281@gmail.com	es	80000	295	80000	
demo-email282@gmail.com	es	80250	296	80250	
demo-email283@gmail.com	es	80500	297	80500	
demo-email284@gmail.com	es	80750	298	80750	
demo-email285@gmail.com	es	81000	299	81000	
demo-email286@gmail.com	es	81250	300	81250	
demo-email287@gmail.com	es	81500	301	81500	
demo-email288@gmail.com	es	81750	302	81750	
demo-email289@gmail.com	es	82000	303	82000	
demo-email290@gmail.com	es	82250	304	82250	
demo-email291@gmail.com	es	82500	305	82500	
demo-email292@gmail.com	es	82750	306	82750	
demo-email293@gmail.com	es	83000	307	83000	
demo-email294@gmail.com	es	83250	308	83250	
demo-email295@gmail.com	es	83500	309	83500	
demo-email296@gmail.com	es	83750	310	83750	
demo-email297@gmail.com	es	84000	311	84000	
demo-email298@gmail.com	es	84250	312	84250	
demo-email299@gmail.com	es	84500	313	84500	
demo-email300@gmail.com	es	84750	314	84750	
demo-email301@gmail.com	es	85000	315	85000	
demo-email302@gmail.com	es	85250	316	85250	
demo-email303@gmail.com	es	85500	317	85500	
demo-email304@gmail.com	es	85750	318	85750	
demo-email305@gmail.com	es	86000	319	86000	
demo-email306@gmail.com	es	86250	320	86250	
demo-email307@gmail.com	es	86500	321	86500	
demo-email308@gmail.com	es	86750	322	86750	
demo-email309@gmail.com	es	87000	323	87000	
demo-email310@gmail.com	es	87250	324	87250	
demo-email311@gmail.com	es	87500	325	87500	
demo-email312@gmail.com	es	87750	326	87750	
demo-email313@gmail.com	es	88000	327	88000	
demo-email314@gmail.com	es	88250	328	88250	
demo-email315@gmail.com	es	88500	329	88500	
demo-email316@gmail.com	es	88750	330	88750	
demo-email317@gmail.com	es	89000	331	89000	
demo-email318@gmail.com	es	89250	332	89250	
demo-email319@gmail.com	es	89500	333	89500	
demo-email320@gmail.com	es	89750	334	89750	
demo-email321@gmail.com	es	90000	335	90000	
demo-email322@gmail.com	es	90250	336	90250	
demo-email323@gmail.com	es	90500	337	90500	
